method,paths,trials,analytical,mean_estimate,bias,rmse,empirical_standard_deviation,mean_reported_standard_error,ci95_coverage
none,2000,30,10.450583572185565,10.326516740619294,-0.12406683156627096,0.3486720072750209,0.33142262314665927,0.32706732097165508,0.8666666666666667
antithetic,2000,30,10.450583572185565,10.477409822500926,0.026826250315361122,0.18376186715164727,0.1849010250985475,0.23384549221948123,1
control,2000,30,10.450583572185565,10.445786222739398,-0.0047973494461661659,0.13788356248436315,0.14015580828075486,0.12543399192930435,0.93333333333333335
none,20000,30,10.450583572185565,10.442689266717002,-0.0078943054685627345,0.11034019312479751,0.1119388910875805,0.10393280286155576,0.90000000000000002
antithetic,20000,30,10.450583572185565,10.449371125398894,-0.0012124467866705402,0.071251117107889603,0.072458680224722863,0.073481555253691447,0.96666666666666667
control,20000,30,10.450583572185565,10.446177707520745,-0.0044058646648199584,0.042748741283138346,0.043248000605744338,0.039661006875811526,0.83333333333333337
none,200000,30,10.450583572185565,10.446760328104357,-0.0038232440812073776,0.031235461564895466,0.031530557655549289,0.032893450027038751,0.96666666666666667
antithetic,200000,30,10.450583572185565,10.454895070719065,0.0043114985335002132,0.022822747274488155,0.022794935316578942,0.023248139533706406,0.96666666666666667
control,200000,30,10.450583572185565,10.451923593446047,0.0013400212604821604,0.010077258345440333,0.010158509874885421,0.012546508180072493,0.96666666666666667
none,2000000,30,10.450583572185565,10.448988172746876,-0.0015953994386883608,0.010255102483333929,0.010303422309319729,0.01040670799498661,0.96666666666666667
antithetic,2000000,30,10.450583572185565,10.450020550936221,-0.00056302124934326514,0.0078536771879631727,0.0079673851838468115,0.0073511849699764657,0.8666666666666667
control,2000000,30,10.450583572185565,10.450434515891313,-0.00014905629425143729,0.0045638660167194589,0.0046394101036711368,0.0039670940040526922,0.8666666666666667
